name,year_start,year_end,position,height,weight,birth_date,college
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,April 7, 1946,Iowa State University
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,April 16, 1947,University of California, Los Angeles
Tariq Abdul-Wahad,1998,2003,F,6-6,223,November 3, 1974,San Jose State University
Shareef Abdur-Rahim,1997,2008,F,6-9,225,December 11, 1976,University of California
Tom Abernethy,1977,1981,F,6-7,220,May 6, 1954,Indiana University
Forest Able,1957,1957,G,6-3,180,July 27, 1932,Western Kentucky University
John Abramovic,1947,1948,F,6-3,195,February 9, 1919,Salem International University
